"","row","col","Dist","Method","Metric","row.Site","col.Site","Comparison","Study"
"221","GM8","HJ6",0.0463066479738618,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"222","GM9","HJ6",0.0485252887074849,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"223","HJ10","HJ6",0.362638598769394,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"224","HJ11","HJ6",0.0365611548071974,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"225","HJ12","HJ6",0.320744110500829,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"226","HJ13","HJ6",0.389216489433256,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"227","HJ14","HJ6",0.0601524562362682,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"228","HJ15","HJ6",0.412994715506522,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"229","HJ2","HJ6",0.230658419106045,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"230","HJ4","HJ6",0.416504050427267,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"231","HJ5","HJ6",0.204909180645676,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"232","GM1","HJ7",0.0825625928523934,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"233","GM10","HJ7",0.253834845997238,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"234","GM12","HJ7",0.0990767524701184,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"235","GM13","HJ7",0.0893030140150112,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"236","GM14","HJ7",0.140828068645043,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"237","GM3","HJ7",0.319911865136787,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"238","GM4","HJ7",0.218338646542215,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"239","GM5","HJ7",0.185961636234426,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"240","GM6","HJ7",0.125224778141561,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"241","GM7","HJ7",0.15246063571736,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"242","GM8","HJ7",0.332584022334391,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"243","GM9","HJ7",0.270693015251244,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"244","HJ10","HJ7",0.0953774694512297,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"245","HJ11","HJ7",0.320975397156112,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"246","HJ12","HJ7",0.0463991611951023,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
